,Unnamed: 0,duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,prediction
83,83,0,tcp,http,SF,219,1310,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,251,1.0,0.0,0.25,0.08,0.0,0.0,0.0,0.0,normal
84,84,0,tcp,http,SF,258,1012,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26,26,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
85,85,0,tcp,http,SF,324,1093,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,8,0.0,0.0,0.0,0.0,1.0,0.0,0.38,69,255,1.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,normal
88,88,0,tcp,http,SF,236,10503,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
89,89,0,tcp,ftp_data,SF,1699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36,7,0.19,0.11,0.19,0.0,0.0,0.0,0.0,0.0,normal
90,90,0,tcp,http,SF,327,910,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,15,0.0,0.0,0.0,0.0,1.0,0.0,0.13,14,255,1.0,0.0,0.07,0.03,0.0,0.0,0.0,0.0,normal
91,91,0,tcp,http,SF,303,2789,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
94,94,3,tcp,pop_3,SF,28,93,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,254,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,normal
95,95,0,tcp,smtp,SF,0,83,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,110,25,0.23,0.13,0.01,0.0,0.0,0.0,0.0,0.0,normal
96,96,0,tcp,http,SF,282,4532,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,96,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,normal
97,97,0,udp,domain_u,SF,44,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0.0,0.0,0.0,0.0,1.0,0.0,0.4,255,253,0.99,0.01,0.0,0.0,0.0,0.0,0.0,0.0,normal
101,101,0,tcp,ftp,SF,26,157,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,155,71,0.46,0.03,0.01,0.0,0.0,0.0,0.0,0.0,normal
104,104,1,tcp,smtp,SF,995,330,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,62,42,0.66,0.05,0.02,0.05,0.0,0.0,0.0,0.0,normal
106,106,31,tcp,telnet,SF,197,1608,0,0,0,1,0,1,1,0,0,1,2,1,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,248,32,0.13,0.03,0.0,0.0,0.0,0.0,0.0,0.0,normal
107,107,0,tcp,http,SF,197,1830,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26,229,1.0,0.0,0.04,0.05,0.0,0.0,0.0,0.0,normal
109,109,0,tcp,http,SF,230,843,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25,25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25,255,1.0,0.0,0.04,0.06,0.0,0.0,0.0,0.0,normal
110,110,0,tcp,http,SF,161,14086,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,151,151,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,normal
112,112,8080,tcp,telnet,SF,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,69,0.27,0.03,0.0,0.0,0.0,0.01,0.11,0.19,normal
113,113,8124,tcp,telnet,SF,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,60,0.24,0.04,0.0,0.0,0.0,0.02,0.11,0.22,normal
114,114,0,tcp,http,SF,224,278,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,5,0.0,0.0,0.0,0.0,1.0,0.0,0.4,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
116,116,0,tcp,http,SF,321,372,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,17,0.0,0.0,0.0,0.0,1.0,0.0,0.12,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
119,119,0,udp,private,SF,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,254,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,normal
120,120,0,tcp,http,SF,303,289,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,11,0.0,0.0,0.0,0.0,1.0,0.0,0.36,30,255,1.0,0.0,0.03,0.01,0.0,0.0,0.0,0.0,normal
124,124,0,tcp,finger,SF,8,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,74,10,0.04,0.31,0.01,0.2,0.01,0.0,0.0,0.0,normal
125,125,0,udp,domain_u,SF,43,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,207,0.0,0.0,0.0,0.0,1.0,0.01,0.0,255,254,1.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,normal
126,126,0,tcp,telnet,SF,124,174,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,normal
128,128,0,tcp,http,SF,257,633,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,4,0.0,0.0,0.0,0.0,1.0,0.0,0.5,171,255,1.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0,normal
129,129,0,udp,domain_u,SF,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0.0,0.0,0.0,0.0,1.0,0.0,0.25,220,220,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
130,130,0,udp,domain_u,SF,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,19,0.0,0.0,0.0,0.0,1.0,0.0,0.11,255,255,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,normal
131,131,0,tcp,http,SF,219,5881,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,49,0.0,0.0,0.0,0.0,1.0,0.0,0.12,1,255,1.0,0.0,1.0,0.03,0.0,0.0,0.0,0.0,normal
133,133,0,tcp,http,SF,260,4027,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,105,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,normal
134,134,7554,tcp,telnet,SF,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,169,0.66,0.31,0.0,0.0,0.5,0.75,0.31,0.01,normal
135,135,0,tcp,http,SF,357,247,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0.0,0.0,0.0,0.0,1.0,0.0,0.67,131,255,1.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0,normal
137,137,0,udp,private,SF,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,254,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,normal
138,138,0,tcp,imap4,RSTO,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,0.0,0.67,1.0,0.33,0.67,1.0,186,59,0.24,0.03,0.01,0.03,0.0,0.0,0.9,0.98,normal
139,139,0,tcp,http,SF,218,287,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
140,140,0,tcp,http,SF,290,2267,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,5,0.0,0.0,0.0,0.0,1.0,0.0,0.4,11,254,1.0,0.0,0.09,0.03,0.0,0.0,0.0,0.0,normal
141,141,0,udp,domain_u,SF,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0.0,0.0,0.0,0.0,1.0,0.0,0.4,255,252,0.99,0.01,0.0,0.0,0.0,0.0,0.0,0.0,normal
148,148,0,tcp,http,SF,244,8745,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,206,255,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,normal
149,149,7466,tcp,telnet,SF,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,191,0.75,0.24,0.0,0.0,0.5,0.66,0.24,0.01,normal
150,150,0,tcp,telnet,RSTO,124,188,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,255,254,1.0,0.01,0.0,0.0,0.01,0.01,0.02,0.02,normal
153,153,1,tcp,smtp,SF,2599,293,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,203,0.8,0.13,0.0,0.0,0.0,0.0,0.19,0.0,normal
154,154,0,tcp,http,SF,226,651,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,21,0.0,0.0,0.0,0.0,1.0,0.0,0.1,166,255,1.0,0.0,0.01,0.04,0.0,0.0,0.0,0.0,normal
156,156,8169,tcp,telnet,SF,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,19,0.07,0.82,0.0,0.0,0.0,0.0,0.8,0.0,normal
164,164,282,tcp,ftp,SF,162,601,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,43,0.17,0.03,0.0,0.0,0.27,0.0,0.02,0.0,normal
167,167,281,tcp,ftp,SF,158,595,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,4,0.02,0.21,0.0,0.0,0.0,0.0,0.2,0.0,normal
168,168,0,tcp,http,SF,313,8558,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,19,0.0,0.0,0.0,0.0,1.0,0.0,0.26,72,255,1.0,0.0,0.01,0.04,0.0,0.0,0.0,0.0,normal
170,170,7526,tcp,telnet,SF,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,187,0.73,0.02,0.0,0.0,0.39,0.39,0.01,0.01,normal
171,171,0,tcp,http,SF,285,26746,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0.0,0.0,0.0,0.0,1.0,0.0,0.67,67,255,1.0,0.0,0.01,0.04,0.01,0.0,0.0,0.0,normal
175,175,0,tcp,http,SF,293,771,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,35,0.0,0.0,0.0,0.0,1.0,0.0,0.14,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
178,178,0,tcp,telnet,SF,121,174,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,120,0.47,0.02,0.0,0.0,0.0,0.0,0.01,0.03,normal
179,179,1,tcp,smtp,SF,4030,332,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,149,102,0.56,0.03,0.01,0.02,0.0,0.0,0.0,0.0,normal
181,181,0,udp,domain_u,SF,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,200,0.0,0.0,0.0,0.0,1.0,0.0,0.01,255,255,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,normal
182,182,0,tcp,http,SF,274,11522,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,255,1.0,0.0,1.0,0.03,0.0,0.0,0.0,0.0,normal
183,183,0,tcp,http,SF,205,398,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20,20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
184,184,0,udp,domain_u,SF,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,139,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,254,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,normal
185,185,4,tcp,pop_3,SF,26,93,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,246,0.96,0.02,0.0,0.0,0.0,0.0,0.01,0.0,normal
188,188,0,udp,domain_u,SF,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,204,0.0,0.0,0.0,0.0,1.0,0.01,0.0,255,254,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,normal
